country_code,smr_key,criterion_id,family,criterion_name,mean_abs_rank_change,importance_score,pairs_compared,eligible_pair_count,small_n
BA,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,5,5,False
BA,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,5,5,False
BA,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,5,5,False
BA,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,5,5,False
BA,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,5,5,False
BA,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,5,5,False
BA,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,5,5,False
BA,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,5,5,False
BA,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,5,5,False
BA,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,5,5,False
BG,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,0.5714,0.0816,7,7,False
BG,nuscale_voygr6,NS-02,NS,Grid connection (detailed),0.5714,0.0816,7,7,False
BG,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.2857,0.0408,7,7,False
BG,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.2857,0.0408,7,7,False
BG,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.2857,0.0408,7,7,False
BG,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.2857,0.0408,7,7,False
BG,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,7,7,False
BG,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.0,0.0,7,7,False
BG,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.0,0.0,7,7,False
BG,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.0,0.0,7,7,False
BG,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,7,7,False
BG,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.0,0.0,7,7,False
BG,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.0,0.0,7,7,False
BG,nuscale_voygr6,HI-04,HI,External fires,0.0,0.0,7,7,False
BG,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,7,7,False
BG,nuscale_voygr6,HI-06,HI,Military installations,0.0,0.0,7,7,False
BG,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.0,0.0,7,7,False
BG,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,7,7,False
BG,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.0,0.0,7,7,False
BG,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,0.0,0.0,7,7,False
BG,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.0,0.0,7,7,False
BG,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,7,7,False
BG,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,7,7,False
BG,nuscale_voygr6,NH-10,NH,Extreme winds,0.0,0.0,7,7,False
BG,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.0,0.0,7,7,False
BG,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,7,7,False
BG,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,7,7,False
BG,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.0,0.0,7,7,False
BG,nuscale_voygr6,NS-04,NS,Site topography / grading,0.0,0.0,7,7,False
BG,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,7,7,False
BG,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,7,7,False
BG,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,7,7,False
BG,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,7,7,False
BG,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,7,7,False
BG,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,7,7,False
BG,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,7,7,False
BG,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,7,7,False
BG,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,7,7,False
BG,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,7,7,False
BG,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),0.0,0.0,7,7,False
BG,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.0,0.0,7,7,False
BY,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),1.0,0.5,2,2,True
BY,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,1.0,0.5,2,2,True
BY,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,2,2,True
BY,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.0,0.0,2,2,True
BY,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.0,0.0,2,2,True
BY,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-04,HI,External fires,0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-06,HI,Military installations,0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-10,NH,Extreme winds,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-02,NS,Grid connection (detailed),0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-04,NS,Site topography / grading,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.0,0.0,2,2,True
CZ,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),2.9655,0.1023,29,29,False
CZ,nuscale_voygr6,NS-02,NS,Grid connection (detailed),1.7931,0.0618,29,29,False
CZ,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,1.1724,0.0404,29,29,False
CZ,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.8966,0.0309,29,29,False
CZ,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.8966,0.0309,29,29,False
CZ,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.7586,0.0262,29,29,False
CZ,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.7586,0.0262,29,29,False
CZ,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.6897,0.0238,29,29,False
CZ,nuscale_voygr6,NS-04,NS,Site topography / grading,0.6897,0.0238,29,29,False
CZ,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.5517,0.019,29,29,False
CZ,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.4828,0.0166,29,29,False
CZ,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.4138,0.0143,29,29,False
CZ,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.3448,0.0119,29,29,False
CZ,nuscale_voygr6,NH-10,NH,Extreme winds,0.3448,0.0119,29,29,False
CZ,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.3448,0.0119,29,29,False
CZ,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,0.2759,0.0095,29,29,False
CZ,nuscale_voygr6,HI-06,HI,Military installations,0.2759,0.0095,29,29,False
CZ,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.1379,0.0048,29,29,False
CZ,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.069,0.0024,29,29,False
CZ,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.069,0.0024,29,29,False
CZ,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,29,29,False
CZ,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,29,29,False
CZ,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.0,0.0,29,29,False
CZ,nuscale_voygr6,HI-04,HI,External fires,0.0,0.0,29,29,False
CZ,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,29,29,False
CZ,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.0,0.0,29,29,False
CZ,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,29,29,False
CZ,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,29,29,False
CZ,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,29,29,False
CZ,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,29,29,False
HR,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,1,1,True
HR,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.0,0.0,1,1,True
HR,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.0,0.0,1,1,True
HR,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.0,0.0,1,1,True
HR,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-04,HI,External fires,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-06,HI,Military installations,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-10,NH,Extreme winds,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-02,NS,Grid connection (detailed),0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-04,NS,Site topography / grading,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.0,0.0,1,1,True
HU,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),0.7273,0.0661,11,11,False
HU,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,0.5455,0.0496,11,11,False
HU,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.3636,0.0331,11,11,False
HU,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.3636,0.0331,11,11,False
HU,nuscale_voygr6,NS-04,NS,Site topography / grading,0.3636,0.0331,11,11,False
HU,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.1818,0.0165,11,11,False
HU,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.1818,0.0165,11,11,False
HU,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.1818,0.0165,11,11,False
HU,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,0.1818,0.0165,11,11,False
HU,nuscale_voygr6,NH-10,NH,Extreme winds,0.1818,0.0165,11,11,False
HU,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.1818,0.0165,11,11,False
HU,nuscale_voygr6,NS-02,NS,Grid connection (detailed),0.1818,0.0165,11,11,False
HU,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.1818,0.0165,11,11,False
HU,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.1818,0.0165,11,11,False
HU,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,11,11,False
HU,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-04,HI,External fires,0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-06,HI,Military installations,0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.0,0.0,11,11,False
LV,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,1,1,True
LV,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.0,0.0,1,1,True
LV,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.0,0.0,1,1,True
